5accded9a3ba7a0001b504e5,1.39
5af33167dd84460001c1dfcf,1.4
5d7fdc371c09e60001dd48f5,0.74
581ccd016c73180001fa5b2a,2.0
5cc0c8b64ded64000152d66e,1.37
5c116d14ce422b0001d67607,0.8
5dcdc93b4f433409300aa8c8,0.95
59dcba5fac0af70001b36245,1.01
5755c957eb80c4000741a9ce,0.97
58343680ff446c00014fb3e6,0.87
5da237c7eb8b3b001196ff8a,0.73
5de33c9c93203f36439e775b,1.6
5b9aed646a11180001a8082e,0.93
57e18aa38e00270001b43925,1.73
5c8ebaed13e167000176428f,1.1
593f105f02d1cc0001071a72,0.4
5b8a73434457e80001f25697,0.54
5cbe0f575c7161000191fe80,1.3
5c38a39645529a0001226c91,0.92
5c4867155707c80001efd958,0.69
